,trade_id,fund_id,dealDate,dealTime,symbol,side,price,qty,s_info_windcode,direction,trade_dt,trade_time
3351,0000000039966463,44,20250821,130031719,601595,1,32.650,100,601595.SZ,B,2025-08-21,13:00:31.719000
3352,0000000039966462,44,20250821,130031719,601595,1,32.650,100,601595.SZ,B,2025-08-21,13:00:31.719000
3353,0102000049437677,60,20250821,130031040,000975,1,18.290,600,000975.SH,B,2025-08-21,13:00:31.040000
3354,0000000039962527,44,20250821,130031132,601600,1,7.690,100,601600.SZ,B,2025-08-21,13:00:31.132000
3355,0102000049432510,60,20250821,130030070,000402,1,3.050,200,000402.SH,B,2025-08-21,13:00:30.070000
3356,0000000039957827,60,20250821,130030209,601766,1,7.610,100,601766.SZ,B,2025-08-21,13:00:30.209000
3357,0102000049432508,62,20250821,130030070,000402,1,3.050,1800,000402.SH,B,2025-08-21,13:00:30.070000
3358,0000000039955407,44,20250821,130029748,603296,2,95.980,100,603296.SZ,S,2025-08-21,13:00:29.748000
3359,0000000039936861,62,20250821,130025037,603929,1,35.230,300,603929.SZ,B,2025-08-21,13:00:25.037000
3360,0000000039935615,60,20250821,130024820,600346,1,16.630,1500,600346.SZ,B,2025-08-21,13:00:24.820000
3361,1021779282073495400,57,20250821,130023712,600153,2,11.220,100,600153.SZ,S,2025-08-21,13:00:23.712000
3362,0000000039923091,60,20250821,130022759,600985,2,13.190,1300,600985.SZ,S,2025-08-21,13:00:22.759000
3363,0102000049395404,60,20250821,130021850,002600,1,12.450,300,002600.SH,B,2025-08-21,13:00:21.850000
3364,1021779282073488600,57,20250821,130022796,600985,2,13.190,300,600985.SZ,S,2025-08-21,13:00:22.796000
3365,0000000039928627,44,20250821,130023509,600082,1,3.980,1100,600082.SZ,B,2025-08-21,13:00:23.509000
3366,0000000039916178,44,20250821,130022127,600067,2,3.340,100,600067.SZ,S,2025-08-21,13:00:22.127000
