,代码,昨收
1098,603759,8.5
1099,603758,13.93
1100,603757,42.85
1101,603755,27.56
1102,603739,14.38
1103,603738,15.28
1104,603737,43.19
1105,603733,24.93
1106,603730,5.74
1107,603729,17.25
1108,603728,61.73
1109,603727,14.66
1110,603726,19.06
1111,603725,10.84
1112,603722,45.0
1113,603721,19.22
1114,603719,13.13
1115,603718,7.13
1116,603717,7.95
1117,603716,29.5
1118,603713,57.68
1119,603712,22.84
1120,603711,13.52
1121,603709,15.63
1122,603708,10.56
1123,603707,11.26
1124,603706,22.39
1125,603703,10.34
1126,603701,21.01
1127,603700,12.39
1128,603699,32.75
1129,603698,18.25
1130,603697,12.51
1131,603696,10.76
1132,603693,13.33
1133,603690,25.38
1134,603689,8.71
1135,603688,35.38
1136,603687,7.63
1137,603686,17.92
1138,603685,15.55
1139,603683,24.77
1140,603682,6.0
1141,603681,15.87
1142,603680,13.42
1143,603679,16.22
1144,603678,36.74
1145,603677,20.02
1146,603676,12.57
1147,603669,5.65
1148,603668,13.62
1149,603667,39.89
1150,603666,31.76
1151,603665,27.15
1152,603663,26.17
1153,603662,67.73
1154,603661,30.28
1155,603660,7.43
1156,603659,17.71
1157,603658,41.14
1158,603657,32.2
1159,603656,19.44
1160,603655,34.9
1161,603650,34.22
1162,603648,11.72
1163,603639,14.63
1164,603638,18.2
1165,603637,11.05
1166,603636,13.26
1167,603633,9.41
1168,603630,23.3
1169,603629,24.19
1170,603628,12.96
1171,603626,8.61
1172,603619,19.33
1173,603618,6.6
1174,603617,9.5
1175,603616,5.79
1176,603615,23.04
1177,603613,23.87
1178,603612,22.89
1179,603611,26.68
1180,603610,14.64
1181,603609,8.91
1182,603608,6.83
1183,603607,24.86
1184,603606,51.39
1185,603605,82.24
1186,603603,0.39
1187,603602,15.38
1188,603601,4.76
1189,603600,11.07
1190,603599,11.97
1191,603598,17.85
1192,603596,51.26
1193,603595,18.59
1194,603590,57.61
1195,603589,34.4
1196,603588,6.38
1197,603587,12.88
1198,603586,19.62
1199,603585,19.08
1200,603583,38.48
1201,603580,14.8
1202,603579,43.2
1203,603578,13.71
1204,603577,9.59
1205,603569,7.91
1206,603568,18.9
1207,603567,12.28
1208,603566,14.68
1209,603565,10.45
1210,603559,8.41
1211,603558,9.57
1212,603557,2.59
1213,603556,27.05
1214,603555,0.67
1215,603551,11.58
1216,603538,28.4
1217,603536,9.28
1218,603535,12.65
1219,603533,20.43
1220,603530,29.4
1221,603529,35.96
1222,603528,9.79
1223,603527,11.73
1224,603520,10.95
1225,603519,12.83
1226,603518,10.6
1227,603517,15.57
1228,603516,108.49
1229,603515,18.43
1230,603511,15.03
1231,603508,33.51
1232,603507,27.94
1233,603506,13.43
1234,603505,16.28
1235,603501,122.84
1236,603500,11.25
1237,603499,18.01
1238,603496,28.57
1239,603489,29.24
1240,603488,8.71
1241,603486,89.0
1242,603477,20.58
1243,603466,10.32
1244,603458,9.6
1245,603456,18.58
1246,603444,419.47
1247,603439,12.83
1248,603429,10.05
1249,603421,6.8
1250,603416,57.88
1251,603409,35.76
1252,603408,11.88
1253,603406,45.0
1254,603400,59.15
1255,603399,10.47
1256,603398,5.32
1257,603396,27.6
1258,603395,33.58
1259,603393,29.96
1260,603392,54.51
1261,603391,39.56
1262,603390,13.44
1263,603389,27.4
1264,603388,2.21
1265,603387,8.67
1266,603386,14.46
1267,603385,6.97
1268,603383,40.9
1269,603382,31.29
1270,603381,21.51
1271,603380,36.45
1272,603379,52.76
1273,603378,5.98
1274,603377,2.95
1275,603375,40.31
1276,603373,47.45
1277,603370,
