代码,昨收
002545,9.94
300016,9.78
300213,9.69
001218,19.6
300816,38.85
601577,10.2
605100,20.65
601555,9.6
600138,9.89
002532,9.61
837821,30.76
000829,10.32
301121,43.56
603049,45.3
688112,42.19
002014,11.38
601928,11.15
300959,45.37
839371,11.05
831396,11.48
300475,35.59
600686,12.4
001326,36.29
301153,25.07
002152,13.19
301036,37.99
605081,12.5
688525,65.88
603501,119.9
301035,66.39
836547,26.21
603191,15.13
605365,14.82
603182,14.91
300514,14.21
603315,13.62
688409,60.28
002780,13.96
002572,13.75
002534,14.53
300657,29.33
603444,388.44
603130,42.34
000997,29.21
300257,13.91
688198,122.55
603970,14.24
837174,17.67
605099,30.85
300065,18.04
002345,15.69
603067,16.07
600571,18.09
000915,34.31
301027,15.7
000801,17.27
603195,47.6
002861,15.41
688362,33.0
603277,17.27
000025,17.63
000550,20.95
301595,39.82
603210,20.77
301272,40.49
000538,56.01
002273,21.66
688628,36.66
002508,19.48
688334,19.02
300677,36.54
301383,39.56
002942,18.91
300493,20.76
002841,38.98
603995,18.2
301133,25.03
300773,26.79
000062,26.29
603629,23.98
002959,49.83
600585,24.41
300641,23.28
300727,33.02
688298,29.0
301601,35.01
603661,30.18
603235,28.86
301536,57.43
872190,31.37
600085,36.61
872953,36.8
301110,56.73
002652,4.04
600987,7.47
600067,3.14
839946,9.97
600108,3.03
300406,15.11
300088,6.24
000159,5.96
000909,6.34
002561,8.75
600975,6.47
000825,4.27
601188,3.55
600990,29.65
600606,1.9
601186,8.23
000809,3.0
603818,4.78
600894,10.26
601236,9.03
833030,31.28
300344,6.0
300345,7.49
600960,4.85
600008,3.1
600616,5.77
000528,11.45
688009,5.45
601233,12.33
002831,24.65
600350,9.63
603867,27.3
601228,3.37
600966,5.09
601226,6.66
000797,2.76
601222,5.81
600106,6.62
000517,1.94
603536,9.53
300301,2.34
600057,7.02
002962,15.6
002496,1.67
300555,9.6
600022,1.55
002630,2.51
600023,5.22
600035,4.32
600033,3.5
002662,3.64
000875,5.24
600368,4.32
600029,5.73
601111,7.3
000727,2.45
600906,7.57
300315,5.94
002649,14.64
000887,18.48
300606,21.88
002696,6.57
603886,12.78
002571,6.78
600996,8.39
601163,14.06
601158,4.75
600925,5.0
300462,10.18
600643,6.14
